ID,ROK,KOLOR,NAZWA WINA,POCHODZENIE,SZCZEP,BECZKA,OPIS,ALK.,POJ.,CENA NETTO,IMAGES,KRAJ,
SF.02,20,Czerwone,Il Grigio Chianti Classico Riserva,D.O.C.G. Chianti Classico Riserva - Włochy,Sangiovese,24 miesiące,"Wino wytrawne. Do produkcji tego wina używane są dokładnie selekcjonowane, najlepsze grona Sangiovese z winnic Chianti Classico. Wino dojrzewa 24 miesiące w dębie, z czego 20% w małych barrique, a następnie rok w butelce. Głębokorubinowa barwa. Bogaty bukiet z dominacją fiołków i leśnych owoców jagodowych. Wino dobrze zbudowane, z żywymi taninami i dobrą kwasowością. Znakomite do dań na bazie mięsa z sosami, pieczonego gołębia i grillowanego steku. [NAGRODY] - 94 pkt James Suckling, 93 pkt Wine Advocate, 93 pkt Wine Spectator, 93 pkt Wine Enthusiast, 93 pkt Robert Parker, 92 pkt Decanter, 89 pkt I Vini di Veronelli, ***** Decanter, Gambero Rosso, Highly Recommended - Decanter, Best Value – Decanter.","13,5",75cl,"96,00",SF.02.png,Włochy,❌ brak pliku
SF.06,18,Czerwone,Poggio Rosso San Felice Chianti Classico Gran Selezione,D.O.C.G. Chianti Classico Gran Selezione - Włochy,"Sangiovese, Colorino, Pugnitello",20 miesięcy,"Wino wytrawne. W 1970 roku Poggio Rosso obsadzono odmianą Sangiovese i Colorino. Wino produkowano z najlepszych gron tych odmian, a od rocznika 2004 z dodatkiem szczepu Pugnitello. To jedno z pierwszych win pochodzących z pojedynczej winnicy Chianti Classico. Produkowane w limitowanych ilościach. Dojrzewa 20 miesięcy w 500-litrowych tonneaux i następnie 12 miesięcy w butelce. Intensywna rubinowa barwa. Nos z suszoną śliwką, jeżyną i maliną. W smaku wyczuwalne aksamitne taniny i wyważona kwasowość. Wino do długiego leżakowania. Znakomite do grilla, dziczyzny i serów twardych typu Pecorino. [NAGRODY] - 94 pkt Wine Enthusiast, 93 pkt James Suckling, 91 pkt Wine Spectator, 91 pkt Wine Advocate, Gambero Rosso.","13,5",75cl,"222,00",SF.06.png,Włochy,❌ brak pliku
SF.07,18/19,Czerwone,Vigorello,I.G.T. Toscana (Supertoscan) - Włochy,"35% Pugnitello, 30% Merlot, 30% Cabernet, Sauvignon, 5 % Petit Verdot",20 miesięcy,"Wino wytrawne. Vigorello było pierwszym z nowej generacji win toskańskich, które z czasem stały się supertoskanami. Wyprodukowane po raz pierwszy w 1968 roku całkowicie z odmiany Sangiovese, a w miarę upływu czasu stopniowo wzbogacane szczepem Cabernet Sauvignon i Merlot. Dojrzewa 20 miesięcy w barrique z francuskiego dębu, a następnie 8-10 miesięcy w butelce. W ustach pełne, ciepłe, z pełnymi wyrazu taninami i delikatną nutą wanilii. Rekomendowane do potraw z grilla, pieczeni, dzikiego ptactwa, jagnięciny i twardych serów. [NAGRODY] - 93 pkt - Robert Parker, 91 pkt Wine Spectator, 94 pkt James Suckling, 90 pkt I Vini di Veronelli, Gambero Rosso.","13,5",75cl,"209,00",SF.07.png,Włochy,❌ brak pliku
SF.09,17,Czerwone,Brunello Di Montalcino Campogiovanni,D.O.C.G. Brunello Di Montalcino - Włochy,Brunello (Sangiovese clone),36 miesięcy,"Wino wytrawne. Campogiovanni Brunello to wino w klasycznym stylu, dojrzewające trzy lata w beczkach ze slawońskiego dębu i 500-litrowych tonneaux, a następne 12 miesięcy w butelce. Znane ze swojej finezji oraz długowieczności. Nos z dobrze dojrzałymi leśnymi owocami jagodowymi, konfiturą z jeżyn, liściem tytoniu i opaloną skórą. W smaku pełne, bogate z czasem dające długie zakończenie z wyraźnym owocowym likierem. Wino rekomendowane do bogatej palety potraw, a w szczególności do dziczyzny i twardego sera typu pecorino. [NAGRODY] - 96 pkt Wine Spectator, 93 pkt Wine Advocate, 92 pkt I Vini di Veronelli, 92 pkt Wine Enthusiast, 94 pkt James Suckling, 16/20 pkt Vinum.",15,75cl,"229,00",SF.09.png,Włochy,❌ brak pliku
ST.02,22,Białe,Vernaccia Di San Gimignano Tenute Guicciardini Strozzi,D.O.C.G. Vernacia di San Giminiano - Włochy,100% Vernaccia,,"Wino wytrawne. Typowy i ekskluzywny produkt regionu San Gimignano, znany już za czasów Kosmy Medyceusza jako lekarstwo na ból brzucha i mdłości. Przyjemny, intensywny, owocowy aromat. W smaku świeże i delikatne z charakterystycznym gorzkim zakończeniem przypominającym migdały. Wino szczególnie polecane do ryb, owoców morza, białego mięsa oraz jako aperitif. [NAGRODY] - 90 pkt Wine Spectator.","13,5",75cl,"49,90",ST.02.png,Włochy,❌ brak pliku
ST.07,22,Czerwone,Chianti Tenute Guicciardini Strozzi,D.O.C.G. Chianti - Włochy,"90% Sangiovese, 10% inne",,"Wino wytrawne.Wino o rubinowej barwie z etykietą przedstawiającą XIV wiecznego polityka i historyka Francesco Guicciardini. Intensywny i trwały bukiet. W smaku wytrawne, dobrze ułożone, przyjemne. Polecane do większości potraw. [NAGRODY] - 89 pkt – James Suckling.","13,5",75cl,"49,90",ST.07.png,Włochy,❌ brak pliku
ST.08,21,Czerwone,Ocra Tenute Guicciardini Strozzi,D.O.C. Bolgheri - Włochy,"30% Cabernet Sauvignon, 30% Cabernet Franc, 40% Merlot",12 miesięcy,"Wino wytrawne. Ocra, “krew ziemi”, powstała w Bolgheri, w regionie, który cieszy się wyjątkowym mikroklimatem do uprawy winorośli. Dojrzewa 12 miesięcy w barrique. Nos z wyraźnymi nutami jeżyn i borówek oraz delikatnym tchnieniem skóry. W smaku przyjemne i ciepłe. Polecane do czerwonego pieczonego mięsa, dziczyzny i dojrzałych serów. [NAGRODY] - 90 pkt Wine Spectator.","14,5",75cl,"144,00",ST.08.png,Włochy,❌ brak pliku
ST.06,20,Czerwone,Sodole Tenute Guicciardini Strozzi,I.G.T. Toscana (Supertoscan) - Włochy,100% Sangiovese,12 miesięcy,"Wino wytrawne. Supertoscan do „medytacji”. Etykieta przedstawia znanego renesansowego historyka Francesco Guicciardini. Wino dojrzewa 12 miesięcy we francuskiej barrique i dodatkowo rok w butelce. Intensywny, elegancki i bogaty bukiet z przyjemnymi nutami fiołków, owoców leśnych i przypraw. Pełne, krągłe, idealne do przechowywania przez 10-15 lat. Polecane do czerwonego mięsa, dziczyzny, gulaszu i dojrzałych serów. [NAGRODY] - 88 pkt Wine Spectator, Gambero Rosso.","13,5",75cl,"175,00",ST.06.png,Włochy,❌ brak pliku
BL.03,N/V,Białe,Blusecco Vino Frizzante,Veneto - Włochy,Blend,,"Wino musujące, półwytrawne. Winogrona do tego włoskiego vino frizzante pochodzą ze słynnego regionu winiarskiego Veneto w sercu Włoch. Blusecco jest lekkie, ale z charakterem, delikatnie musujące, zachwycające świeżością i owocowym smakiem. Podawać mocno schłodzone, prosto z puszki lub ze słomką. Idealna pozycja na piknik, wycieczkę, spotkanie z przyjaciółmi czy aperitif w niezobowiązującej atmosferze. Wino na każdą okazję.",20 cl,75cl,"9,90",BL.03.png,Włochy,Otwórz plik
AR.01,23,Białe,Trebbiano La Casada,I.G.T. Rubicone - Włochy,Trebbiano,,"Wino wytrawne. Jasnożółta barwa z zielonkawymi refleksami. Wino o świeżym, owocowym bukiecie. Doskonałe do przekąsek, sałatek i ryby. Uniwersalne wino do sprzedaży na kieliszki, na bankiety, imprezy okolicznościowe.","1,5L",75cl,"39,90",AR.01.png,Włochy,Otwórz plik
AR.02,N/V,Czerwone,Merlot La Casada,Vino d’Italia - Włochy,Merlot,,"Wino wytrawne. Eleganckie, dobrze zbudowane wino o rubinowej barwie. Bukiet wyraźny z nutami porzeczki i fiołków. Polecane do gotowanego, pieczonego, grillowanego mięsa. Uniwersalne wino do sprzedaży na kieliszki, na bankiety, imprezy okolicznościowe.","1,5L",75cl,"39,90",AR.02.png,Włochy,Otwórz plik
RO.03,23,Białe,Pinot Grigio Casa Lunardi,D.O.C. Delle Venezie - Włochy,Pinot Grigio,,"Wino wytrawne. Aromaty owoców tropikalnych takich jak mango, kiwi z kuszącymi nutami kwiatów (akacja, wiciokrzew, pomarańcza). Umiarkowana kwasowość. Wino idealne do jarzynowych zup, sałat, przekąsek czy grillowanego białego mięsa.",12,75cl,"28,90",RO.03.png,Włochy,❌ brak pliku
RO.05,21,Białe,Chardonnay Casa Lunardi,I.G.T. Veneto - Włochy,Chardonnay,,"Wino wytrawne. Żywe, owocowe, szczepowe wino z aromatem moreli oraz nutami owoców egzotycznych. W smaku pełne, aksamitne harmonijne. Szczególnie polecane do dań wegetariańskich oraz ryby. Kwasowość 6g/l, cukier resztkowy 4g/l.",12,75cl,"26,90",RO.05.png,Włochy,❌ brak pliku
RO.04,21,Czerwone,Merlot Casa Lunardi,I.G.T. Veneto - Włochy,Merlot,,"Wino wytrawne. Świeże, owocowe wino z aromatem wiśni i delikatnym tchnieniem fiołków. Wyprodukowane wyłącznie z gron o wysokiej zawartości cukru. Wyróżniająca się barwa oraz taniny to efekt zastosowania metody „Ganimede” w procesie winifikacji. W smaku krągłe, bardzo dobrze pasuje do makaronów, serów, zup, dań mięsnych.",13,75cl,"26,90",RO.04.png,Włochy,❌ brak pliku
RO.07,21,Czerwone,Cabernet Sauvignon Casa Lunardi,I.G.T. Veneto - Włochy,Cabernet Sauvignon,,"Wino wytrawne. Jedynie grona o wysokiej zawartości cukru używane są w procesie winifikacji. Wino bogate w aromaty owoców leśnych z delikatną balsamiczną nutą. Idealne do czerwonego mięsa, sycących zup czy dojrzewających serów. Kwasowość 5,4g/l, cukier resztkowy 7g/l.",13,75cl,"26,90",RO.07.png,Włochy,❌ brak pliku
RO.06,N/V,Białe,Frizzante Casa Burti Flute,Veneto - Włochy,"Garganega, Pinot Grigio, Chardonnay",,"Wino musujące wytrawne. Dobrze zbalansowane, pełne energii wino musujące. Ujmujące kwiatowe aromaty z wyraźnym głogiem, soczystymi owocami cytrusowymi i zielonym jabłkiem. Przede wszystkim idealny aperitif a także polecany do sałatek, owoców morza, przekąsek, drobiu czy ryby. Kwasowość 5,2g/l, cukier resztkowy 11,5g/l.","10,5",75cl,"22,90",RO.06.png,Włochy,❌ brak pliku
RO.01,N/V,Białe,Prosecco Collezione Falceri Extra Dry,D.O.C. Proseco - Włochy,Glera,,"Wino musujące półwytrawne. Świeże, rewelacyjne owocowe Prosecco.Przywołuje wspomnienie słodkiego, soczystego jabłka, gruszki oraz kwiatu akacji. W smaku bliżej wina półwytrawnego aniżeli półsłodkiego (cukier resztkowy: 14g/l). Rewelacyjne jako aperitif, do włoskiej szynki, przekąsek czy owoców. Na każdą okazję.",11,75cl,"38,00",RO.01.png,Włochy,❌ brak pliku
RO.08,N/V,Białe,Prosecco Collezione Falceri Brut,D.O.C. Proseco - Włochy,Glera,,"Wino musujące wytrawne. Świeże, rewelacyjne owocowe Prosecco. Przywołuje wspomnienie soczystego jabłka, gruszki oraz kwiatu akacji. Rewelacyjne jako aperitif, do włoskiej szynki, przekąsek czy owoców. Na każdą okazję.",11,75cl,"38,00",RO.08.png,Włochy,❌ brak pliku
RO.11,N/V,Białe,Moscato Collezione Falceri Dolce,D.O.C. Moscato - Włochy,Moscato,,"Wino musujące słodkie. Maceracja winogron następuje w temperaturze 0 °C. Proces fermentacji ma miejsce w ciśnieniowych zbiornikach ze stali nierdzewnej aż do osiągnięcia pożądanego poziomu cukru resztkowego. Falceri Spumante Moscato to słodkie wino musujące z nutami moreli i brzoskwini. W ustach wyczuwalna dobrze wyważona kwasowość, która niweluje poziom cukru i daje uczucie orzeźwienia. Przyjemny aromatyczny finisz z subtelnym tchnieniem miodu sprawia, że wino idealnie komponuje się z wszelkimi deserami. Zawartość alkoholu 7%.",7,75cl,"28,90",RO.11.png,Włochy,Otwórz plik
RO.09,19,Czerwone,Amarone della Valpolicella Collezione Falceri,D.O.C.G. - Włochy,"Corvina, Rondinella, Corvinone",,"Wino wytrawne. Falceri Collezione Amarone della Valpolicella to eleganckie, pełne, złożone wino. Na podniebieniu wyczuwalny smak czarnej wiśni, pikantnych nut przypraw, wanilii i kawy na finiszu. Nagrody: GOLD MEDAL BERLINER 2022 Vintage 2018.",15,75cl,"138,00",RO.09.png,Włochy,❌ brak pliku
PR.20,N/V,Białe,Venetio Prosecco Extra Dry,Prosecco D.O.C. - Włochy,Glera,,"Wino musujące półwytrawne. Jasne, słomkowożółte wino musujące wyprodukowane ze szczepu Glera. Charakteryzujące się intensywnym, świeżym bukietem z nutami kwiatów akacji, wisterii i jabłka. W ustach harmonijne, soczyste, z przyjemnie orzeźwiającą kwasowością balansującą owocową słodycz. Idealne jako aperitif, do warzyw, ryb oraz delikatnych potraw. Przechowywać w chłodnym miejscu. Temperatura serwowania 4-6oC.","11,5",75cl,"35,00",PR.20.png,Włochy,❌ brak pliku
TD.09,N/V,Białe,Icy Spumante Villa Loren Extra Dry,Veneto - Włochy,Blend,,"Wino musujące półwytrawne. Kolor słomkowożółty. W aromacie przyjemnie świeże z nutami egzotycznych owoców. Na podniebieniu miękkie i kremowe. Serwować jako aperitif, do dań na bazie ryb oraz do lekkich sałat w temperaturze 6 - 8° C. Wino świetnie się sprawdza również podawane na zakończenie posiłku.",11,75cl,"22,90",TD.09.png,Włochy,Otwórz plik
RO.12,20,Pomarańczowe,Ispritz Frizzante L’aperitivo Koktajl Musujący,Włochy,Blend,,"Ispritz l’Aperitivo to doskonały koktajl musujący na bazie wina w stylu Aperola produkowany we Włoszech. Zainspirowany typowym weneckim aperitifem jest wyważoną mieszanką słodyczy pomarańczy i niepowtarzalnej goryczy ziół, gwarantującą niezapomniane doznania smakowe. Podawać na kruszonym lodzie z plasterkiem pomarańczy.","8,5",75cl,"27,90",RO.12.png,Włochy,❌ brak pliku
AR.03,24,Czerwone,Primitivo La Casada,I.G.T. Salento - Włochy,Primitivo,,"Wino wytrawne. Elegancka rubinowa barwa z fioletowymi refleksami. Intensywny, aromatyczny bukiet z wyczuwalną ciemną wiśnią, śliwką i konfiturami. W smaku przyjemne, ułożone, aksamitne. Znakomite do pieczeni, serów, zup.",13,75cl,"29,90",AR.03.png,Włochy,Otwórz plik
AR.04,22/23,Czerwone,Primitivo Domo Passiamo,I.G.T. Puglia - Włochy,Primitivo,,"Wino delikatnie wytrawne z nutą słodyczy. Wino poddawane specjalnej fermentacji poprzez dodanie podsuszonych gron, dzięki czemu uzyskuje się ciemną, głęboką barwę oraz więcej aromatów. Nos z przewodnią nutą jeżyny, suszonej śliwki, wiśni, czereśni oraz ciemnej czekolady. Znakomita równowaga między łagodnymi taninami a kwasowością, z przyjemną słodyczą z podsuszanych winogron. Wino w limitowanej edycji polecane do dojrzałych twardych serów, pieczeni wieprzowej, wołowych steków i dziczyzny.",13,75cl,"41,00",AR.04.png,Włochy,Otwórz plik
AR.05,21,Czerwone,Retro Primitivo Di Manduria (Heavy bottle Imperiale),D.O.C Primitivo Di Manduria - Włochy,Primitivo,,"Wino wytrawne. Intensywna purpurowa barwa, która wraz z wiekiem przechodzi w bursztynową. W ustach przede wszystkim suszona śliwka z nutami tytoniu i kawy. Wino o bardzo solidnej strukturze, która wynika z podwyższonej zawartości alkoholu. Znakomicie zachowana równowaga między delikatnymi taninami a kwasowością. Idealna pozycja do pieczonego czy grillowanego mięsa, dziczyzny, dojrzewających serów. Kwasowość 6,1g/l, cukier resztkowy 8 g/l.","14,5",75cl,"58,00",AR.05.png,Włochy,Otwórz plik
TD.05,21,Czerwone,Malluso Appassimento Salento,I.G.T Salento - Włochy,"Primitivo, Negroamaro",,"Wino wytrawne. Selektywnie wybrane winogrona przez około 15 dni są naturalnie podsuszane na winorośli (metoda appassimento). Poprzez utratę wagi o 50% w winogronach koncentrują się charakterystyczne nuty dojrzałych owoców, takich jak śliwka czy rodzynki. Dojrzewanie przez 3-4 miesiące w beczce dodaje przyjemnych nut przypraw i wanilii. Znakomicie pasuje do pieczeni czy dojrzewających serów. Kwasowość 6 g/l, cukier resztkowy 10 g/l.",14,75cl,"57,00",TD.05.png,Włochy,❌ brak pliku
TD.06,23,Czerwone,Chianti Pattini,D.O.C.G. Chianti - Włochy,"90% Sangiovese, 10% Canaiolo",,"Wino wytrawne. Jasny rubinowy kolor. Intensywny owocowy bukiet z dominacją czerwonej wiśni, dzikich jagód oraz fiołka. W ustach pełne, krągłe i eleganckimi miękkimi taninami. Doskonale sprawdzi się do klasycznych dań kuchni włoskiej, takich jak pizza, lasagne, makarony oraz serów i dań z intensywnością przypraw.",13,75cl,"33,00",TD.06.png,Włochy,❌ brak pliku
TD.01,N/V,Białe,Terre di Mario Vino Bianco,Włochy,Blend,,"Wino wytrawne. Włoskie stołowe wino z aromatami owoców cytrusowych, kwiatów, limonki oraz niuansami zielonego jabłka. Fermentacja alkoholowa oraz malolaktyczna zachodzi w kadziach ze stali nierdzewnej. Pełne ciała, między wytrawnym a półwytrawnym, bardzo żywe i świeże. Doskonałe do ryby, białego mięsa, zup warzywnych.","12,5",75cl,"20,90",TD.01.png,Włochy,❌ brak pliku
TD.02,N/V,Czerwone,Terre di Mario Vino Rosso,Włochy,Blend,,"Wino wytrawne. Fermentacja alkoholowa oraz malolaktyczna zachodzą w kadziach ze stali nierdzewnej. W smaku wyczuwalne dojrzałe owoce z wyraźną jeżyną i wiśnią. Wino o bardzo dobrze zachowanej równowadze między miękkimi taninami a kwasowością. Rekomendowane do twardych dojrzewających serów, pieczeni wieprzowej, steków wołowych, dziczyzny.",13,75cl,"20,90",TD.02.png,Włochy,❌ brak pliku
TD.16,N/V,Różowe,Terre Di Mario Rose,Abruzzo - Włochy,Blend,,"Wino wytrawne. Wino o barwie wiśnioworóżowej. Owocowy bukiet z nutami wiśni i kwiatowymi nutami róży. Pachnący i harmonijny smak. Idealne do przystawek, pierwszych dań, białych mięs, zup rybnych i serów. Doskonałe z pizzą.","11,5",75cl,"20,90",TD.16.png,Włochy,❌ brak pliku
TD.03,21,Czerwone,Terre di Mario Montepulciano d’Abruzzo,D.O.C. Montepulciano D’Abruzzo - Włochy,Montepulciano,,"Wino wytrawne. Przyjemny owocowy bukiet, który w pełni oddaje region Abruzji, gdzie jednocześnie mamy wpływ klimatu śródziemnomorskiego oraz bałkańskiego. W smaku wytrawne, krągłe. Zakończenie bogate, z delikatnymi taninami i dobrą kwasowością. Idealna pozycja do czerwonego mięsa oraz dań z makaronem.","12,5",75cl,"29,00",TD.03.png,Włochy,❌ brak pliku
TD.04,23,Białe,Terre di Mario Pinot Grigio,I.G.T. Terre di Chieti - Włochy,Pinot Grigio,,"Wino wytrawne. Kolor słomkowożółty. Świeży bukiet z delikatnymi owocowymi aromatami. Nuty białej brzoskwini i owoców tropikalnych. Wytrawny i harmonijny smak. Idealny towarzysz ryb, białych mięs i delikatnych serów.","12,5",75cl,"29,00",TD.04.png,Włochy,❌ brak pliku
TD.10,20,Czerwone,La Calla Pinot Nero,IGT Provincia di Pavia - Włochy,Pinot Nero,,"Wino wytrawne. Wino wyprodukowane ze szczepu Pinot Nero o lekko pikantnym i owocowym zapachu, w którym dominują nuty jagód, jeżyn, borówek i morwy. Na podniebieniu jest intensywne, a finisz jest zaokrąglony i owocowy z dobrze zintegrowanymi taninami. Idealnie skomponuje się z czerwonymi pieczonymi i grillowanymi mięsami, włoskimi makaronami czy twardymi serami.","13,5",75cl,"29,00",TD.10.png,Włochy,Otwórz plik
TD.11,22,Czerwone,La Calla Appassimento Rosso,IGT Puglia - Włochy,"Negroamaro, Merlot, Primitivo",,"Wino wytrawne. Intensywny, głęboki czerwony kolor. Odpowiednio późne zbiory winogron nadają charakterystyczne nuty dojrzałych i suszonych owoców, zwłaszcza takich jak śliwki i rodzynki. Dodatkowo lekkie starzenie wina w dębowych beczkach uzupełnia nos o przyjemne nuty czekolady i przypraw, które czynią to wino harmonijnym i zrównoważonym, przyjemnym i dojrzałym. Doskonale komponuje się z grillowaną dziczyzną; także do bogatych zup, twardych serów.","14,5",75cl,"33,00",TD.11.png,Włochy,Otwórz plik
TD.12,19,Czerwone,Sapor Temporis Valpolicella Superiore Ripasso,DOC Valpolicella Superiore - Włochy,"Corvina, Corvinone, Rondinella",,"Wino wytrawne. Ripasso oznacza po włosku „powtórny”. Chodzi tutaj o powtórną fermentację, która zachodzi w winie po dodaniu wytłoczyn pozostałych po produkcji Amarone do podstawowej Valpolicelli. Cukier zawarty w wytłoczynach powoduje wznowienie fermentacji. Sapor Temporis Valpolicella Ripasso Superiore DOC to eleganckie i wyrafinowane wino o dominujących aromatach wiśni i dzikich jagód uzupełnione delikatnie pikantnymi aromatami. Wino charakteryzujące się wielką osobowością i złożonością. W smaku bogate, bardzo owocowe i z bardzo ładną taniną. Doskonale skomponuje się z daniami z grilla i dojrzewającymi serami. Należy je podawać w temperaturze 16° - 18°C.",14,75cl,"47,00",TD.12.png,Włochy,❌ brak pliku
TD.13,18/20,Czerwone,Sapor Temporis Amarone della Valpolicella,DOCG Amarone della Valpolicella - Włochy,"Corvina, Corvinone, Rondinella",,"Wino wytrawne. Amarone to obok Barolo i Brunello jedno z najbardziej prestiżowych włoskich win. Pochodzi ono z leżącego na północy Włoch regionu Veneto. Sapor Temporis Amarone della Valdpolicella DOC dojrzewało 6 miesięcy we francuskiej barrique oraz dodatkowo 3 miesiące w butelce. Intensywna rubinowa barwa. Wino o niezwykle mocnej strukturze, które na podniebieniu ukazuje głębię, elegancję i moc. Wyraźne aromaty dojrzałych owoców, jagód, suszonych kwiatów,, lukrecji, dymu tytoniowego oraz orzechów włoskich. W smaku aksamitne, pełne, zbalansowane. Polecane do czerwonego mięsa, pieczeni, dziczyzny, serów. Kwasowość 6% / cukier resztkowy 11 g/l. [NAGRODY] - 88 pkt Wine Spectator.",15,75cl,"107,00",TD.13.png,Włochy,❌ brak pliku
MZ.56,21,Białe,Mottura Fiano del Salento,I.G.T. Fiano del Salento - Włochy,Fiano,,"Wino wytrawne. Wino wyprodukowane w Salento z odmiany winogron Fiano zbieranych ręcznie. Winogrona delikatnie tłoczone i fermentowane w kontrolowanej temperaturze. Słomkowożółty kolor z zielonkawymi refleksami. Bukiet bogaty w delikatne owocowe nuty białej brzoskwini, egzotycznych owoców i białych kwiatów. W ustach przyjemne, miękkie i soczyste.","12,5",75cl,"39,90",MZ.56.png,Włochy,Otwórz plik
MZ.40,15,Czerwone,Mottura Negroamaro del Salento,I.G.T. Del Salento - Włochy,Negroamaro,6 miesięcy,"Wino wytrawne. Wino 6 miesięcy dojrzewało we francuskiej barrique oraz dodatkowo 3 miesiące w butelce. Intensywna rubinowa barwa. Wyraźne aromaty dojrzałych owoców, papryki, dymu tytoniowego oraz orzechów włoskich. W smaku aksamitne, pełne, zbalansowane. Polecane do czerwonego mięsa, pieczeni, dziczyzny, serów. Kwasowość 6% / cukier resztkowy 11 g/l. [NAGRODY] - 88 pkt Wine Spectator.","12,5",75cl,"36,90",MZ.40.png,Włochy,Otwórz plik
LF.03,22,Czerwone,Livio Felluga Vertigo,I.G.T. Delle Venezie - Włochy,"Merlot, Cabernet Sauvignon",,"Wino wytrawne. Ciemnowiśniowa barwa z intensywnymi fioletowymi niuansami. Wino dojrzewa w kadziach ze stali nierdzewnej i małych beczkach z dębu francuskiego przez co najmniej 12 miesięcy i minimum 4 miesiące w butelce. Intensywny owocowy bukiet z wiśnią, czerwoną papryką, porzeczką, jeżyną i jagodą, zintegrowany ze słodkimi przyprawami i lukrecją. Taniny zrównoważone z kwasowością. Podawać do pikantnych makaronów, potraw z ryżem, grillowanego lub duszonego czerwonego mięsa, wołowiny, pieczonej wieprzowiny, jagnięciny, koziego mięsa, średnio dojrzałych serów. NAGRODY - 88 pkt Wine&Spirits, 87 pkt Wine Spectator.",13,75cl,"89,00",LF.03.png,Włochy,Otwórz plik
LF.02,23,Białe,Livio Felluga Sharis,I.G.T. Delle Venezie - Włochy,"Chardonnay, Ribolla, Gialla",,"Wino wytrawne. Dojrzewa na osadzie w kadziach ze stali nierdzewnych przez 6 miesięcy, a następnie 2 miesiące w butelce. Jasnosłomkowa barwa. Nos owocowy, świeży, z nutami ananasa, cytryny, białej brzoskwini, kopru włoskiego i białych kwiatów. W smaku żywe, o świetnej kwasowości. Długie i trwałe zakończenie z niuansem owoców cytrusowych oraz przypraw. Idealne jako aperitif, a także do szparagów, zup warzywnych, roślin strączkowych i marynowanych ryb.",13,75cl,"89,00",LF.02.png,Włochy,Otwórz plik
LF.08,23,Białe,Livio Felluga Pinot Grigio,D.O.C. Friuli Colli Orientali - Włochy,Pinot Grigio,,"Wino wytrawne. Po zakończeniu procesu fermentacji dojrzewa na osadzie w kadziach ze stali nierdzewnej przez 6 miesięcy oraz dodatkowo co najmniej 2 miesiące w butelce. Słomkowożółta barwa. Nos elegancki, złożony, z wyraźnymi nutami jaśminu, magnolii oraz aromatami białej brzoskwini, moreli, skórki pomarańczowej, żółtego jabłka, kantalupa, dzikiej róży i mięty. Na podniebieniu jak i w aromacie wyczuwalna mineralność i przyprawy. Wino pełne ciała, trwałe. Polecane do ryby, przekąsek z mięczaków, risotto i pieczonych warzyw. [NAGRODY] - 91 pkt Wine Spectator, 91 pkt Decanter, 91 pkt Wine&Spirits, 89 pkt Wine Enthusiast, Top 100 – Wine Spectator, Najlepsze Pinot Grigio na Świecie.","13,5",75cl,"105,00",LF.08.png,Włochy,Otwórz plik
LF.20,21,Białe,Livio Felluga Pinot Grigio Curubella,D.O.C. Friuli Colli Orientali - Włochy,Pinot Grigio,,"Wino wytrawne. „Curubella"" to określenie oznaczające „wyrafinowany i harmonijny"" i nawiązujące do eleganckich europejskich salonów z początku XX w. Wino wyprodukowane ze specjalnie wyselekcjonowanych winogron Pinot Grigio. Nos jest mineralny i krągły, przywołujący aromaty żółtych kwiatów i dojrzałych owoców w harmonii z nutami mineralnymi, korzennymi i balsamicznymi. W ustach wyczuwalny nagietek, gerbera, lilia świętojańska, miód i limonka z niuansami białego melona, papai, białej wiśni i mokrego kamienia.",13,75cl,"255,00",LF.20.png,Włochy,❌ brak pliku
LF.05,23,Białe,Livio Felluga Friulano,D.O.C Friuli Colli Orientali - Włochy,Friulano,10 miesięcy,"Wino wytrawne. Dojrzewa na osadzie w kadziach ze stali nierdzewnej przez 6 miesięcy, a następnie co najmniej 2 miesiące w butelce. Nos z miętą, skórką cytrynową, żółtym jabłkiem, tymiankiem, oregano oraz nutami kwiatów pomarańczy, imbiru, szałwii, orzecha włoskiego i glicynii. W smaku eleganckie o przyjemnej kwasowości, z migdałową i ziołową nutą w zakończeniu. Tradycyjny aperitif we Friuli znakomicie pasujący do prosciutto crudo, salami, dań rybnych oraz tłustych serów.","13,5",75cl,"115,00",LF.05.png,Włochy,Otwórz plik
LF.01,22,Białe,Livio Felluga Sauvignon Blanc,D.O.C. Collio - Włochy,Sauvignon Blanc,,"Wino wytrawne. Tradycyjne wino z Friuli. Dojrzewa na osadzie w kadziach ze stali nierdzewnych przez 6 miesięcy i co najmniej 2 miesiące w butelce. Słomkowa barwa z zielonkawymi refleksami. Bukiet z dominującą marakują, owocami cytrusowymi, lychee, żółtą papryką, bukszpanem, szałwią, a także liściem pomidora, anyżem, kiwi, kandyzowanymi cytrusami i pokrzywą. W smaku orzeźwiające, harmonijne, z długim i trwałym zakończeniem. Znakomite jako aperitif, do szparagów, zup warzywnych, roślin strączkowych i marynowanych ryb. [NAGRODY] - 90 pkt Wine Spectator, 90 pkt Decanter, ** I Vini di Veronelli.",13,75cl,"105,00",LF.01.png,Włochy,Otwórz plik
